AVL_INDEP_TIME	SPEED_A	ALPHA	TORQUE_A	POWER	REDFAC	TORQUE_C	POWER_C	P_EFF_ME	BH	FUELCOSP	T_FUEL	P_FUEL	TWI	TWO	TWD	P_AGB	T_OIL	P_OILOF	P_OILCH	PHI	T_INTAKE	P_INTAKE	T_AIR	P_AIR	BLOWBY	P_CRANK	T_EXH_1	T_EXH_2	T_EXH_3	T_EXH_4	T_EXH_D	P_EXH_1	P_EXH_2	P_EXH_3	P_EXH_4	P_EXH_D	TLLKV	TLLKN	PLLKV	PLLKN	LAMBDA	VOL_BAT	AIRCONS	nmot	wped	ThrPos	zwout	InjTim	Knock1	Knock2	Knock3	Knock4	Misfir1	Misfir2	Misfir3	Misfir4	tmot	tans	AirFlow	ECU_u	prist	pristD	FuelCon	lamsoni	lamsbg	InCamA	InCamC	ExCamA	ExCamC	WGA_A	WGA_C	BoostP	BoostD	FlapPosA	FlapPosD	LambdaD	load	Airpress	dA_Alarm	CP_alarm	T_OILOF	T_EXH_5	T_EXH_6	P_EXH_5	P_EXH_6	RunningTime	TIME	DATE	Cycler	lamsoni_w	pans	PC_CoDc	PC_CoDc2	prist_A	TIC_dem	TW_DEM	EE_MEA01	EE_MEA02	EE_MEA03	EE_MEA04	EE_MEA05	EE_MEA06	EE_MEA07	EE_MEA08	EE_MEA09	EE_MEA10	EE_MEA11	EE_MEA12	EE_MEA13	ATL_Speed	T_B1	TWO2	V_D1	T_B1	T_B2	T_DB1	T_DB2	STWATCH1	
	rpm	%	Nm	kW	-	Nm	kW	bar	g/kW.h	kg/h	Cel	bar	Cel	Cel	Cel	bar	Cel	bar	bar	%	Cel	bar	Cel	mbar	l/min	bar	Cel	Cel	Cel	Cel	Cel	bar	bar	bar	bar	bar	Cel	Cel	bar	bar	-			rpm	%	%	degree	ms	degree	degree	degree	degree	-	-	-	-	Cel	Cel	kg/h	V	-	-	l/h	-	-	degree	degree	degree	degree	%	%	mbar	mbar	%	%	-	-	-			Cel	-	-	bar	bar	s	hhmmss	yyyymmdd	-	-	-	p/cm3	p/cm3	-	-	Cel	-	-	-	-	-	-	-	-	-	-	-	-	-	-		Cel	-	Cel	Cel	Cel	Cel	s	
1.0	2000	14.0	21.58	4.52	1.006	21.71	4.55	1.356	433.30	1.9606	15.0	5.58	60.3	104.8	44.37	0.648	91.7	1.56	0.0175	52.3	28.4	0.009697	25.1	1011.2	0.00	-0.074009	447.4	553.0	**	**	-104.09	0.010496	0.003914	-0.000373	-0.000977	0	44.4	13.9	0.013	0.012	1.017			1999.8	12.60	4.74	26.62	0.50	0.00	0.00	0.00	0.00	0	0	0	0	103.38	29.90	27.87	14.08	131	**	4.69	0.00	0.00	48.74	49.03	13.44	13.50	**	**	0.81	1.03	100.00	100.00	1.00	**	**			**	**	**	-0.00366	**	2.03	13:51:16	2019-10-03	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33335		100.0	**	38.4	**	39.89	40.13	7331.2	
2.0	2600	50.0	212.76	57.93	0.999	212.55	57.87	13.365	238.42	13.8117	15.0	5.53	49.4	97.8	48.45	0.784	96.2	1.64	0.0183	49.4	26.8	0.012372	25.1	1011.2	0.08	-0.007330	688.5	678.8	**	**	9.88	0.073048	0.040211	-0.000373	-0.000866	0	47.9	14.8	0.164	0.150	1.006			2600.4	65.14	48.10	9.37	2.47	0.00	0.00	0.00	0.00	0	0	0	0	91.90	18.90	201.80	14.01	200	**	12.03	0.00	0.00	32.29	32.50	12.30	12.50	**	**	1.16	1.17	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	2.06	13:52:47	2019-10-03	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33335		95.3	**	38.8	**	39.71	40.01	7422.7	
3.0	5000	50.0	188.88	98.90	1.000	188.83	98.87	11.865	248.55	24.5799	15.0	5.49	61.4	96.8	35.40	0.912	100.8	3.84	0.0191	48.1	27.2	0.012384	25.2	1011.2	0.00	-0.032611	802.3	807.3	**	**	-4.97	0.177011	0.104476	-0.000373	-0.000854	0	62.0	17.6	0.270	0.226	0.999			4999.8	65.14	79.93	20.62	2.30	0.00	0.00	0.00	0.00	0	0	0	0	91.43	20.00	354.61	13.93	200	**	25.86	0.00	0.00	54.29	54.50	13.85	14.00	**	**	1.26	1.24	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	2.09	13:54:47	2019-10-03	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33335		94.4	**	39.0	**	39.77	40.25	7542.7	
4.0	2700	50.0	212.54	60.09	1.000	212.51	60.09	13.349	236.32	14.2005	15.0	5.53	60.9	98.6	37.71	0.812	100.5	1.66	0.0208	49.0	27.1	0.017531	25.6	1011.2	0.00	-0.007963	747.7	764.8	**	**	-17.18	0.086077	0.047774	-0.000373	-0.000854	0	52.8	19.1	0.171	0.154	1.004			2699.5	65.14	50.58	10.09	2.40	0.00	0.00	0.00	0.00	0	0	0	0	92.46	21.00	209.16	14.05	200	**	23.41	0.00	0.00	32.52	32.89	12.68	12.50	**	**	1.17	1.17	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	2.12	13:56:47	2019-10-03	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33335		95.9	**	40.8	**	39.53	39.93	7662.7	
5.0	4900	50.0	194.11	99.60	0.999	194.00	99.55	12.192	246.88	24.5860	15.0	5.49	60.8	96.2	35.34	0.867	101.8	3.86	0.0187	49.2	27.0	0.014525	25.3	1011.1	0.00	-0.032174	804.0	812.5	**	**	-8.49	0.181579	0.107613	-0.000373	-0.000885	0	63.7	21.3	0.284	0.240	0.998			4899.4	65.14	79.94	19.87	2.30	0.00	0.00	0.00	0.00	0	0	0	0	90.51	23.00	355.61	13.95	200	**	27.38	0.00	0.00	52.85	53.00	13.55	14.00	**	**	1.27	1.26	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	2.16	13:58:47	2019-10-03	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33335		93.8	**	41.2	**	39.45	40.03	7782.7	
6.0	2800	50.0	212.45	62.29	1.000	212.37	62.27	13.344	235.19	14.6499	15.0	5.53	59.5	97.9	38.44	0.780	100.3	1.66	0.0203	49.1	27.0	0.015776	25.6	1011.1	0.00	-0.008831	748.8	768.4	**	**	-19.67	0.090384	0.051978	-0.000373	-0.000977	0	53.6	22.9	0.178	0.161	1.004			2799.6	65.14	52.78	10.86	2.40	0.00	0.00	0.00	0.00	0	0	0	0	91.82	24.00	215.80	14.04	200	**	23.95	0.00	0.00	33.24	33.50	11.83	12.00	**	**	1.18	1.18	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	2.19	14:00:47	2019-10-03	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33335		95.0	**	42.4	**	39.25	39.79	7902.7	
7.0	4800	50.0	198.12	99.59	0.999	197.97	99.51	12.445	244.94	24.3912	15.0	5.49	60.9	95.5	34.68	0.855	102.0	3.88	0.0208	49.6	26.8	0.018860	26.1	1011.1	0.00	-0.032155	803.2	811.2	**	**	-8.04	0.180245	0.106924	-0.000373	-0.000958	0	64.6	25.3	0.291	0.247	1.000			4800.0	65.14	79.79	19.00	2.31	0.00	0.00	0.00	0.00	0	0	0	0	89.49	26.36	354.11	13.92	200	**	27.47	0.00	0.00	51.02	51.35	14.46	14.50	**	**	1.28	1.27	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	2.22	14:02:47	2019-10-03	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33335		93.3	**	42.9	**	39.15	39.87	8022.7	
8.0	2900	50.0	212.70	64.59	0.999	212.40	64.50	13.360	235.54	15.2142	15.0	5.53	59.4	97.6	38.18	0.777	100.2	1.66	0.0208	49.6	26.7	0.016457	25.6	1011.1	0.00	-0.010077	752.7	770.8	**	**	-18.19	0.095535	0.055760	-0.000373	-0.000904	0	54.6	26.6	0.188	0.169	1.002			2900.0	65.14	52.81	11.25	2.40	0.00	0.00	0.00	0.00	0	0	0	0	91.26	27.00	223.15	14.02	200	**	24.26	0.00	0.00	33.72	34.00	11.79	12.00	**	**	1.18	1.18	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	2.26	14:04:47	2019-10-03	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33335		94.8	**	43.8	**	39.00	39.67	8142.7	
9.0	4700	50.0	201.14	98.99	0.999	200.98	98.92	12.634	243.76	24.1314	15.0	5.49	60.9	94.7	33.87	0.839	101.7	3.89	0.0220	49.4	26.9	0.019382	25.5	1011.2	0.00	-0.031823	801.7	809.6	**	**	-7.86	0.179730	0.105438	-0.000373	-0.000854	0	65.0	28.6	0.295	0.252	1.000			4700.1	65.14	79.89	18.27	2.40	0.00	0.00	0.00	0.00	0	0	0	0	88.23	29.23	352.02	13.93	200	**	27.48	0.00	0.00	49.30	49.50	14.32	14.50	**	**	1.29	1.27	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	2.29	14:06:47	2019-10-03	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33335		92.5	**	44.2	**	38.91	39.74	8262.7	
