AVL_INDEP_TIME	SPEED_A	ALPHA	TORQUE_A	POWER	REDFAC	TORQUE_C	POWER_C	P_EFF_ME	BH	FUELCOSP	T_FUEL	P_FUEL	TWI	TWO	TWD	P_AGB	T_OIL	P_OILOF	P_OILCH	PHI	T_INTAKE	P_INTAKE	T_AIR	P_AIR	BLOWBY	P_CRANK	T_EXH_1	T_EXH_2	T_EXH_3	T_EXH_4	T_EXH_D	P_EXH_1	P_EXH_2	P_EXH_3	P_EXH_4	P_EXH_D	TLLKV	TLLKN	PLLKV	PLLKN	LAMBDA	VOL_BAT	AIRCONS	nmot	wped	ThrPos	zwout	InjTim	Knock1	Knock2	Knock3	Knock4	Misfir1	Misfir2	Misfir3	Misfir4	tmot	tans	AirFlow	ECU_u	prist	pristD	FuelCon	lamsoni	lamsbg	InCamA	InCamC	ExCamA	ExCamC	WGA_A	WGA_C	BoostP	BoostD	FlapPosA	FlapPosD	LambdaD	load	Airpress	dA_Alarm	CP_alarm	T_OILOF	T_EXH_5	T_EXH_6	P_EXH_5	P_EXH_6	RunningTime	TIME	DATE	Cycler	lamsoni_w	pans	PC_CoDc	PC_CoDc2	prist_A	TIC_dem	TW_DEM	EE_MEA01	EE_MEA02	EE_MEA03	EE_MEA04	EE_MEA05	EE_MEA06	EE_MEA07	EE_MEA08	EE_MEA09	EE_MEA10	EE_MEA11	EE_MEA12	EE_MEA13	ATL_Speed	T_B1	TWO2	V_D1	T_B1	T_B2	T_DB1	T_DB2	STWATCH1	
	rpm	%	Nm	kW	-	Nm	kW	bar	g/kW.h	kg/h	Cel	bar	Cel	Cel	Cel	bar	Cel	bar	bar	%	Cel	bar	Cel	mbar	l/min	bar	Cel	Cel	Cel	Cel	Cel	bar	bar	bar	bar	bar	Cel	Cel	bar	bar	-			rpm	%	%	degree	ms	degree	degree	degree	degree	-	-	-	-	Cel	Cel	kg/h	V	-	-	l/h	-	-	degree	degree	degree	degree	%	%	mbar	mbar	%	%	-	-	-			Cel	-	-	bar	bar	s	hhmmss	yyyymmdd	-	-	-	p/cm3	p/cm3	-	-	Cel	-	-	-	-	-	-	-	-	-	-	-	-	-	-		Cel	-	Cel	Cel	Cel	Cel	s	
1.0	2000	14.0	22.60	4.73	0.997	22.51	4.71	1.419	441.93	2.0901	14.9	5.57	77.8	96.1	18.21	0.790	87.6	1.53	0.0472	52.6	28.7	0.000883	25.3	1019.4	0.00	-0.076902	274.1	416.2	**	**	-142.07	0.007446	0.002162	-0.000373	-0.000961	0	34.6	17.3	0.010	0.010	1.019			1999.7	12.45	4.85	26.37	0.50	0.00	0.00	0.00	0.00	0	0	0	0	94.73	36.45	27.65	14.09	131	**	1.25	0.00	0.00	48.26	48.67	13.41	13.52	**	**	0.81	1.03	100.00	100.00	1.00	**	**			**	**	**	-0.00366	**	4.20	10:32:05	2019-09-28	**	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33328		91.2	0.1844	38.8	**	31.89	31.81	0.0	
2.0	2600	50.0	211.68	57.64	0.988	209.22	56.96	13.297	238.74	13.7599	15.1	5.53	49.0	97.5	48.53	0.860	94.0	1.62	0.0480	48.3	26.7	0.001706	25.2	1019.4	0.00	-0.007750	666.6	653.7	**	**	13.50	0.070679	0.033106	-0.000373	-0.000977	0	44.9	17.6	0.164	0.150	1.008			2600.2	65.14	46.54	9.37	2.50	0.00	0.00	0.00	0.00	0	0	0	0	91.28	21.33	201.90	14.05	200	**	11.24	0.00	0.00	32.30	32.50	12.42	12.50	**	**	1.17	1.17	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	0.00	10:33:36	2019-09-28	**	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33328		94.8	0.8630	38.7	**	31.95	31.88	0.0	
3.0	5000	50.0	188.35	98.63	0.994	187.15	97.99	11.832	249.58	24.6138	15.0	5.49	60.9	96.4	35.59	1.007	100.0	3.82	0.0516	51.6	27.9	0.002843	25.9	1019.4	0.00	-0.035898	790.3	799.2	**	**	-8.87	0.171509	0.099909	-0.000373	-0.000854	0	62.5	20.4	0.319	0.277	0.999			4999.9	65.14	42.72	20.62	2.30	0.00	0.00	0.00	0.00	0	0	0	0	90.92	22.05	358.38	13.95	200	**	25.64	0.00	0.00	54.80	54.50	13.88	14.00	**	**	1.27	1.30	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	0.00	10:35:36	2019-09-28	**	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33328		94.0	1.1577	38.8	**	31.98	32.16	0.0	
4.0	2700	50.0	211.52	59.81	0.988	209.00	59.09	13.287	236.58	14.1476	15.0	5.53	61.1	97.6	36.45	0.917	99.8	1.64	0.0587	48.9	26.5	0.013110	27.1	1019.3	0.00	-0.008921	733.9	756.9	**	**	-23.08	0.084351	0.043664	-0.000373	-0.000732	0	54.4	22.1	0.168	0.152	1.006			2699.8	65.14	50.46	10.08	2.40	0.00	0.00	0.00	0.00	0	0	0	0	91.03	23.21	209.00	14.04	200	**	23.42	0.00	0.00	32.74	32.84	12.23	12.50	**	**	1.17	1.18	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	0.00	10:37:36	2019-09-28	**	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33328		94.8	0.6846	41.0	**	32.19	32.11	0.0	
5.0	4900	50.0	193.47	99.28	0.988	191.13	98.08	12.154	247.88	24.6107	15.0	5.49	60.9	96.4	35.49	0.977	101.8	3.83	0.0586	47.1	26.7	0.012381	26.7	1019.4	0.00	-0.035408	792.4	805.8	**	**	-13.37	0.180908	0.104667	-0.000373	-0.000732	0	65.8	24.5	0.320	0.277	0.999			4899.2	65.14	46.89	19.80	2.30	0.00	0.00	0.00	0.00	0	0	0	0	90.49	25.87	358.26	13.97	200	**	27.42	0.00	0.00	52.70	53.00	13.72	14.00	**	**	1.28	1.30	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	0.00	10:39:36	2019-09-28	**	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33328		94.0	1.2010	41.4	**	32.19	32.26	0.0	
6.0	2800	50.0	211.26	61.94	0.987	208.56	61.15	13.270	235.91	14.6114	15.0	5.53	59.4	97.9	38.45	0.901	100.7	1.63	0.0598	48.3	26.3	0.014428	26.9	1019.3	0.00	-0.009519	735.1	759.0	**	**	-24.01	0.090332	0.047258	-0.000373	-0.000674	0	54.8	25.9	0.175	0.158	1.004			2799.9	65.14	53.04	10.87	2.40	0.00	0.00	0.00	0.00	0	0	0	0	91.75	27.00	216.00	14.05	200	**	24.02	0.00	0.00	33.20	33.50	12.31	12.00	**	**	1.18	1.18	0.00	0.00	1.00	**	**			**	**	**	-0.00367	**	0.00	10:41:36	2019-09-28	**	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33328		95.0	0.8823	43.0	**	32.25	32.26	0.0	
7.0	4800	50.0	198.09	99.58	0.988	195.81	98.42	12.444	245.75	24.4743	15.0	5.49	60.9	95.9	34.97	0.963	102.1	3.83	0.0598	48.7	26.6	0.013662	27.3	1019.4	0.00	-0.035148	790.6	804.5	**	**	-13.87	0.181335	0.104745	-0.000381	-0.000610	0	66.6	28.1	0.325	0.282	1.001			4799.1	65.14	47.45	18.90	2.40	0.00	0.00	0.00	0.00	0	0	0	0	89.75	29.00	361.26	13.95	200	**	27.52	0.00	0.00	50.79	51.00	14.27	14.50	**	**	1.29	1.32	0.00	0.00	1.00	**	**			**	**	**	-0.00369	**	0.00	10:43:36	2019-09-28	**	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33328		93.3	1.2765	43.2	**	32.29	32.39	0.0	
8.0	2900	50.0	211.34	64.19	0.987	208.66	63.37	13.276	235.77	15.1340	15.0	5.53	59.4	97.7	38.27	0.897	100.6	1.63	0.0616	48.5	26.3	0.014694	27.2	1019.3	0.00	-0.010524	738.6	761.8	**	**	-23.33	0.093750	0.049609	-0.001618	-0.000610	0	56.2	29.3	0.186	0.167	1.003			2900.1	65.14	52.84	11.25	2.40	0.00	0.00	0.00	0.00	0	0	0	0	91.00	30.00	223.00	14.06	200	**	24.30	0.00	0.00	33.76	34.00	11.81	12.00	**	**	1.19	1.19	0.00	0.00	1.00	**	**			**	**	**	-0.00415	**	0.00	10:45:36	2019-09-28	**	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33328		94.8	0.9110	44.6	**	32.33	32.40	0.0	
9.0	4700	50.0	201.86	99.36	0.989	199.59	98.24	12.681	244.52	24.2990	15.0	5.50	60.9	95.2	34.23	0.950	102.0	3.83	0.0598	48.3	26.8	0.012765	27.4	1019.3	0.00	-0.034265	790.6	804.7	**	**	-14.07	0.177917	0.103546	-0.001618	-0.000610	0	67.4	31.3	0.326	0.284	1.001			4699.5	65.14	50.85	18.00	2.40	0.00	0.00	0.00	0.00	0	0	0	0	88.93	32.00	357.44	13.91	200	**	27.57	0.00	0.00	49.18	49.50	14.35	14.50	**	**	1.30	1.31	0.00	0.00	1.00	**	**			**	**	**	-0.00480	**	0.00	10:47:36	2019-09-28	**	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33328		92.6	1.2358	44.6	**	32.40	32.51	0.0	
