AVL_INDEP_TIME	SPEED_A	ALPHA	TORQUE_A	POWER	REDFAC	TORQUE_C	POWER_C	P_EFF_ME	BH	FUELCOSP	T_FUEL	P_FUEL	TWI	TWO	TWD	P_AGB	T_OIL	P_OILOF	P_OILCH	PHI	T_INTAKE	P_INTAKE	T_AIR	P_AIR	BLOWBY	P_CRANK	T_EXH_1	T_EXH_2	T_EXH_3	T_EXH_4	T_EXH_D	P_EXH_1	P_EXH_2	P_EXH_3	P_EXH_4	P_EXH_D	TLLKV	TLLKN	PLLKV	PLLKN	LAMBDA	VOL_BAT	AIRCONS	nmot	wped	ThrPos	zwout	InjTim	Knock1	Knock2	Knock3	Knock4	Misfir1	Misfir2	Misfir3	Misfir4	tmot	tans	AirFlow	ECU_u	prist	pristD	FuelCon	lamsoni	lamsbg	InCamA	InCamC	ExCamA	ExCamC	WGA_A	WGA_C	BoostP	BoostD	FlapPosA	FlapPosD	LambdaD	load	Airpress	dA_Alarm	CP_alarm	T_OILOF	T_EXH_5	T_EXH_6	P_EXH_5	P_EXH_6	RunningTime	TIME	DATE	Cycler	lamsoni_w	pans	PC_CoDc	PC_CoDc2	prist_A	TIC_dem	TW_DEM	EE_MEA01	EE_MEA02	EE_MEA03	EE_MEA04	EE_MEA05	EE_MEA06	EE_MEA07	EE_MEA08	EE_MEA09	EE_MEA10	EE_MEA11	EE_MEA12	EE_MEA13	ATL_Speed	T_B1	TWO2	V_D1	T_B1	T_B2	T_DB1	T_DB2	STWATCH1	
	rpm	%	Nm	kW	-	Nm	kW	bar	g/kW.h	kg/h	Cel	bar	Cel	Cel	Cel	bar	Cel	bar	bar	%	Cel	bar	Cel	mbar	l/min	bar	Cel	Cel	Cel	Cel	Cel	bar	bar	bar	bar	bar	Cel	Cel	bar	bar	-			rpm	%	%	degree	ms	degree	degree	degree	degree	-	-	-	-	Cel	Cel	kg/h	V	-	-	l/h	-	-	degree	degree	degree	degree	%	%	mbar	mbar	%	%	-	-	-			Cel	-	-	bar	bar	s	hhmmss	yyyymmdd	-	-	-	p/cm3	p/cm3	-	-	Cel	-	-	-	-	-	-	-	-	-	-	-	-	-	-		Cel	-	Cel	Cel	Cel	Cel	s	
1.000	1400	100.0	285.54	41.87	0.993	283.64	41.58	17.939	267.66	11.2063	15.0	5.53	58.3	100.9	42.68	0.685	98.1	1.53	0.0452	49.5	27.0	0.017497	26.4	1016.5	0.00	-0.001421	654.2	726.0	**	**	-71.74	0.065313	0.026351	-0.000373	-0.000732	0	95.3	21.0	0.645	0.634	0.994			1402.9	99.90	59.46	-4.28	3.80	0.00	0.00	0.00	0.00	0	0	0	0	92.00	23.14	167.62	14.07	200	**	14.04	0.00	0.00	37.72	38.00	22.84	23.00	**	**	1.66	1.66	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	0.02	12:53:31	2019-09-29	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33334		97.2	**	50.4	**	40.73	40.72	114.1	
2.000	1500	100.0	314.07	49.34	0.993	311.99	49.01	19.731	263.76	13.0126	15.0	5.53	61.3	100.4	39.10	0.711	98.8	1.63	0.0464	48.9	27.0	0.019690	26.5	1016.5	0.00	-0.003783	677.8	744.7	**	**	-66.94	0.075774	0.031901	-0.000373	-0.000732	0	109.5	24.4	0.812	0.800	0.994			1505.6	99.90	60.86	-4.25	4.10	0.00	-0.06	0.00	0.00	0	0	0	0	91.00	25.32	199.63	14.07	200	**	16.39	0.00	0.00	36.22	36.50	22.32	22.50	**	**	1.82	1.82	0.00	0.00	0.99	**	**			**	**	**	-0.00366	**	0.06	12:55:30	2019-09-29	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33334		96.8	**	48.6	**	40.75	40.74	233.5	
3.000	1600	100.0	321.83	53.92	0.993	319.62	53.55	20.214	256.79	13.8456	15.0	5.52	60.8	100.2	39.40	0.700	99.4	1.73	0.0467	48.6	27.1	0.019763	26.7	1016.5	0.00	-0.005735	688.9	749.2	**	**	-60.23	0.078570	0.034966	-0.000373	-0.000730	0	114.4	27.2	0.856	0.844	0.999			1605.0	99.90	63.41	-3.61	4.10	-0.05	-0.14	-0.16	0.00	0	0	0	0	90.85	27.62	212.05	14.07	200	**	17.85	0.00	0.00	33.50	33.92	21.30	21.50	**	**	1.87	1.87	0.00	0.00	0.99	**	**			**	**	**	-0.00366	**	0.09	12:57:30	2019-09-29	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33334		96.8	**	47.3	**	40.76	40.77	353.5	
4.000	1700	100.0	326.87	58.20	0.993	324.62	57.79	20.534	252.18	14.6777	15.0	5.52	60.0	99.5	39.51	0.691	99.2	1.79	0.0485	48.3	27.1	0.021338	27.2	1016.5	0.00	-0.007412	695.5	753.4	**	**	-57.84	0.084499	0.039263	-0.000373	-0.000614	0	117.8	30.4	0.887	0.873	1.001			1703.2	99.90	65.93	-3.01	4.10	-0.46	-0.76	-0.27	-0.14	0	0	0	0	90.00	30.23	220.22	14.04	200	**	19.01	0.00	0.00	30.83	31.08	20.33	20.44	**	**	1.89	1.90	0.00	0.00	0.99	**	**			**	**	**	-0.00370	**	0.12	12:59:30	2019-09-29	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33334		96.2	**	46.2	**	40.75	40.81	473.5	
5.000	1800	100.0	334.42	63.03	0.992	331.80	62.54	21.005	248.71	15.6770	15.0	5.52	60.2	99.7	39.55	0.699	99.8	1.90	0.0488	49.5	26.7	0.021374	26.9	1016.5	0.00	-0.008152	706.9	757.2	**	**	-50.34	0.094000	0.047304	-0.000903	-0.000610	0	120.8	27.6	0.918	0.903	1.002			1798.6	99.90	67.28	-2.84	4.15	-0.33	-0.81	-0.47	-0.12	0	0	0	0	90.00	28.55	232.87	14.02	200	**	20.25	0.00	0.00	28.86	29.00	18.67	18.76	**	**	1.93	1.93	0.00	0.00	0.99	**	**			**	**	**	-0.00400	**	0.16	13:01:30	2019-09-29	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33334		96.4	**	45.4	**	40.71	40.80	593.5	
6.000	2000	100.0	333.29	69.80	0.993	330.85	69.29	20.935	244.91	17.0940	15.0	5.51	60.3	98.9	38.59	0.699	100.0	2.17	0.0512	48.7	26.9	0.021686	27.1	1016.5	0.10	-0.010969	725.0	769.0	**	**	-43.98	0.106472	0.056996	-0.001618	-0.000610	0	119.9	30.0	0.922	0.905	1.004			2000.1	99.90	67.28	-1.34	4.09	-0.05	-0.15	-0.36	-0.03	0	0	0	0	89.00	29.98	253.78	14.02	200	**	21.97	0.00	0.00	25.58	25.81	14.72	14.88	**	**	1.93	1.93	0.00	0.00	1.00	**	**			**	**	**	-0.00466	**	0.19	13:03:30	2019-09-29	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33334		95.7	**	44.9	**	40.68	40.85	713.5	
7.000	2500	100.0	338.36	88.58	0.983	332.69	87.10	21.254	243.91	21.6049	15.0	5.50	60.7	97.7	36.93	0.702	100.6	2.78	0.0421	45.5	24.2	0.014297	23.1	1016.5	0.00	-0.021052	760.4	797.2	**	**	-36.71	0.153629	0.091659	-0.001618	-0.000610	0	114.1	28.5	0.910	0.886	1.000			2499.6	99.90	69.48	0.73	4.00	-0.01	0.00	-0.05	0.00	0	0	0	0	88.00	28.96	316.56	13.97	200	**	26.42	0.00	0.00	23.65	24.00	11.83	12.00	**	**	1.91	1.91	0.00	0.00	1.00	**	**			**	**	**	-0.00480	**	0.22	13:05:30	2019-09-29	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33334		94.8	**	44.6	**	40.57	40.93	833.5	
8.000	3000	100.0	339.16	106.55	0.984	333.59	104.80	21.304	240.60	25.6373	15.0	5.48	61.2	92.6	31.45	0.640	98.9	3.34	0.0369	44.9	24.4	0.005406	22.2	1016.4	0.00	-0.033076	788.1	824.5	**	**	-36.36	0.199187	0.128752	-0.001618	-0.000732	0	111.2	30.8	0.903	0.869	0.996			2999.1	99.90	74.55	3.62	4.00	0.00	0.00	-0.16	-0.18	0	0	0	0	83.96	30.48	381.73	13.91	200	**	31.68	0.00	0.00	23.51	23.84	11.86	12.00	**	**	1.89	1.89	0.00	0.00	1.00	**	**			**	**	**	-0.00448	**	0.26	13:07:30	2019-09-29	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33334		90.1	**	44.2	**	40.37	40.91	953.5	
9.000	3500	100.0	336.07	123.20	0.994	333.94	122.39	21.113	241.18	29.7101	15.0	5.46	60.9	92.2	31.30	0.627	98.8	3.84	0.0356	48.2	27.2	0.004940	23.1	1016.4	0.00	-0.049786	814.3	840.0	**	**	-25.71	0.241986	0.165562	-0.001423	-0.000853	0	115.7	29.1	0.944	0.898	0.997			3500.0	99.90	78.88	4.17	3.91	0.00	0.00	0.00	0.00	0	0	0	0	84.00	29.64	442.91	13.89	200	**	36.75	0.00	0.00	22.94	23.27	18.87	19.00	**	**	1.92	1.93	0.00	0.00	1.00	**	**			**	**	**	-0.00398	**	0.29	13:09:30	2019-09-29	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33334		89.7	**	44.6	**	40.24	40.93	1073.5	
