Ê±¼ä	SPEED_A	ALPHA	TORQUE_A	POWER	REDFAC	TORQUE_C	POWER_C	LAMBDA	InjTim	zwout	FUELCOSP	BH	Knock1	Knock2	Knock3	Knock4	Misfir1	Misfir2	Misfir3	Misfir4	P_CRANK	InCamA	InCamC	ExCamA	ExCamC	ECU_u	ThrPos	wped	TWI	TWO	TWO2	tmot	P_AGB	P_OILOF	T_OIL	T_OILOF	prist	pristD	P_FUEL	T_FUEL	T_INTAKE	AirFlow	P_AIR	PHI	BoostD	BoostP	PLLKN	PLLKV	TLLKN	TLLKV	tans	P_EXH_1	P_EXH_2	T_EXH_1	T_EXH_2	OPF_Mass	BLOWBY	P_EFF_ME	T_AIR	P_INTAKE	FlapPosA	FlapPosD	TIME	DATE	T_EXH_3	T_EXH_4	T_EXH_5	T_EXH_6	P_EXH_3	P_EXH_4	P_EXH_5	P_EXH_6	TWD	prist_A	RunningTime	
	rpm	%	Nm	kW	-	Nm	kW	-	ms	degree	kg/h	g/kW.h	degree	degree	degree	degree	-	-	-	-	bar	degree	degree	degree	degree	V	%	%	Cel	Cel	Cel	Cel	bar	bar	Cel		-		bar	Cel	Cel	kg/h	mbar	%	mbar	mbar	bar	bar	Cel	Cel	Cel	bar	bar	Cel	Cel		l/min	bar	Cel	bar	%	%	hhmmss	yyyymmdd					bar	bar	bar		Cel		s	
1.000	1400	100.0	285.54	41.87	0.993	283.64	41.58	0.994	3.80	-4.28	11.2063	267.66	0.00	0.00	0.00	0.00	0	0	0	0	-0.001421	37.72	38.00	22.84	23.00	14.07	59.46	99.90	58.3	100.9	97.2	92.00	0.685	1.53	98.1		200		5.53	15.0	27.0	167.62	1016.5	49.5	1.66	1.66	0.634	0.645	21.0	95.3	23.14	0.065313	0.026351	654.2	726.0		0.00	17.939	26.4	0.017497	0.00	0.00	12:53:31	2019-09-29					-0.000373	-0.000732	-0.00366		42.68		0.02	
2.000	1500	100.0	314.07	49.34	0.993	311.99	49.01	0.994	4.10	-4.25	13.0126	263.76	0.00	-0.06	0.00	0.00	0	0	0	0	-0.003783	36.22	36.50	22.32	22.50	14.07	60.86	99.90	61.3	100.4	96.8	91.00	0.711	1.63	98.8		200		5.53	15.0	27.0	199.63	1016.5	48.9	1.82	1.82	0.800	0.812	24.4	109.5	25.32	0.075774	0.031901	677.8	744.7		0.00	19.731	26.5	0.019690	0.00	0.00	12:55:30	2019-09-29					-0.000373	-0.000732	-0.00366		39.10		0.06	
3.000	1600	100.0	321.83	53.92	0.993	319.62	53.55	0.999	4.10	-3.61	13.8456	256.79	-0.05	-0.14	-0.16	0.00	0	0	0	0	-0.005735	33.50	33.92	21.30	21.50	14.07	63.41	99.90	60.8	100.2	96.8	90.85	0.700	1.73	99.4		200		5.52	15.0	27.1	212.05	1016.5	48.6	1.87	1.87	0.844	0.856	27.2	114.4	27.62	0.078570	0.034966	688.9	749.2		0.00	20.214	26.7	0.019763	0.00	0.00	12:57:30	2019-09-29					-0.000373	-0.000730	-0.00366		39.40		0.09	
4.000	1700	100.0	326.87	58.20	0.993	324.62	57.79	1.001	4.10	-3.01	14.6777	252.18	-0.46	-0.76	-0.27	-0.14	0	0	0	0	-0.007412	30.83	31.08	20.33	20.44	14.04	65.93	99.90	60.0	99.5	96.2	90.00	0.691	1.79	99.2		200		5.52	15.0	27.1	220.22	1016.5	48.3	1.90	1.89	0.873	0.887	30.4	117.8	30.23	0.084499	0.039263	695.5	753.4		0.00	20.534	27.2	0.021338	0.00	0.00	12:59:30	2019-09-29					-0.000373	-0.000614	-0.00370		39.51		0.12	
5.000	1800	100.0	334.42	63.03	0.992	331.80	62.54	1.002	4.15	-2.84	15.6770	248.71	-0.33	-0.81	-0.47	-0.12	0	0	0	0	-0.008152	28.86	29.00	18.67	18.76	14.02	67.28	99.90	60.2	99.7	96.4	90.00	0.699	1.90	99.8		200		5.52	15.0	26.7	232.87	1016.5	49.5	1.93	1.93	0.903	0.918	27.6	120.8	28.55	0.094000	0.047304	706.9	757.2		0.00	21.005	26.9	0.021374	0.00	0.00	13:01:30	2019-09-29					-0.000903	-0.000610	-0.00400		39.55		0.16	
6.000	2000	100.0	333.29	69.80	0.993	330.85	69.29	1.004	4.09	-1.34	17.0940	244.91	-0.05	-0.15	-0.36	-0.03	0	0	0	0	-0.010969	25.58	25.81	14.72	14.88	14.02	67.28	99.90	60.3	98.9	95.7	89.00	0.699	2.17	100.0		200		5.51	15.0	26.9	253.78	1016.5	48.7	1.93	1.93	0.905	0.922	30.0	119.9	29.98	0.106472	0.056996	725.0	769.0		0.10	20.935	27.1	0.021686	0.00	0.00	13:03:30	2019-09-29					-0.001618	-0.000610	-0.00466		38.59		0.19	
7.000	2500	100.0	338.36	88.58	0.983	332.69	87.10	1.000	4.00	0.73	21.6049	243.91	-0.01	0.00	-0.05	0.00	0	0	0	0	-0.021052	23.65	24.00	11.83	12.00	13.97	69.48	99.90	60.7	97.7	94.8	88.00	0.702	2.78	100.6		200		5.50	15.0	24.2	316.56	1016.5	45.5	1.91	1.91	0.886	0.910	28.5	114.1	28.96	0.153629	0.091659	760.4	797.2		0.00	21.254	23.1	0.014297	0.00	0.00	13:05:30	2019-09-29					-0.001618	-0.000610	-0.00480		36.93		0.22	
8.000	3000	100.0	339.16	106.55	0.984	333.59	104.80	0.996	4.00	3.62	25.6373	240.60	0.00	0.00	-0.16	-0.18	0	0	0	0	-0.033076	23.51	23.84	11.86	12.00	13.91	74.55	99.90	61.2	92.6	90.1	83.96	0.640	3.34	98.9		200		5.48	15.0	24.4	381.73	1016.4	44.9	1.89	1.89	0.869	0.903	30.8	111.2	30.48	0.199187	0.128752	788.1	824.5		0.00	21.304	22.2	0.005406	0.00	0.00	13:07:30	2019-09-29					-0.001618	-0.000732	-0.00448		31.45		0.26	
9.000	3500	100.0	336.07	123.20	0.994	333.94	122.39	0.997	3.91	4.17	29.7101	241.18	0.00	0.00	0.00	0.00	0	0	0	0	-0.049786	22.94	23.27	18.87	19.00	13.89	78.88	99.90	60.9	92.2	89.7	84.00	0.627	3.84	98.8		200		5.46	15.0	27.2	442.91	1016.4	48.2	1.93	1.92	0.898	0.944	29.1	115.7	29.64	0.241986	0.165562	814.3	840.0		0.00	21.113	23.1	0.004940	0.00	0.00	13:09:30	2019-09-29					-0.001423	-0.000853	-0.00398		31.30		0.29	
10.000	3900	100.0	336.66	137.50	0.993	334.46	136.59	0.997	4.02	3.67	34.0714	247.77	0.00	0.00	0.00	0.00	0	0	0	0	-0.071892	20.02	20.25	18.96	19.00	13.85	80.05	99.90	61.9	88.7	86.6	80.15	0.596	3.93	97.5		200		5.44	15.0	27.2	512.28	1016.4	48.2	1.95	1.96	0.923	0.984	31.7	119.5	32.42	0.299240	0.216455	846.1	873.7		0.00	21.148	25.8	0.017190	0.00	0.00	13:11:30	2019-09-29					-0.000477	-0.000774	-0.00391		26.80		0.32	
11.000	4000	100.0	338.35	141.72	0.992	335.67	140.60	0.991	4.09	3.88	35.3321	249.35	0.00	0.00	0.00	0.00	0	0	0	0	-0.076151	19.77	20.00	18.91	19.00	13.85	80.05	99.90	62.3	88.9	86.7	80.24	0.597	3.87	97.6		200		5.44	15.0	26.5	527.05	1016.4	50.2	1.95	1.95	0.917	0.981	30.0	120.6	31.02	0.313046	0.227870	849.1	873.5		0.00	21.252	26.0	0.018025	0.00	0.00	13:13:30	2019-09-29					-0.000581	-0.000732	-0.00394		26.58		0.36	
12.000	4100	100.0	339.24	145.66	0.993	336.83	144.62	0.973	4.13	4.18	36.7600	252.37	0.00	0.00	0.00	0.00	0	0	0	0	-0.078117	19.81	20.00	18.87	19.00	13.81	80.05	99.90	63.0	89.3	87.1	81.00	0.613	3.81	98.2		200		5.43	15.0	26.9	538.50	1016.4	48.8	1.93	1.93	0.900	0.969	29.1	120.4	30.00	0.324372	0.233066	843.3	859.0		0.00	21.310	26.5	0.022521	0.00	0.00	13:15:30	2019-09-29					-0.001507	-0.000732	-0.00411		26.27		0.39	
13.000	4200	100.0	340.59	149.79	0.993	338.36	148.82	0.958	4.20	4.54	38.2092	255.08	0.00	0.00	0.00	0.00	0	0	0	0	-0.079960	19.69	20.00	18.82	19.00	13.80	80.05	99.90	63.3	89.4	87.2	81.00	0.623	3.78	98.8		200		5.42	15.0	27.1	553.85	1016.4	48.8	1.93	1.92	0.896	0.969	29.3	122.5	30.00	0.332920	0.238060	834.7	846.3		0.00	21.393	27.7	0.025074	0.00	0.00	13:17:30	2019-09-29					-0.001618	-0.000732	-0.00413		26.12		0.42	
14.000	4500	100.0	336.88	158.73	0.993	334.33	157.55	0.897	4.44	4.99	43.3831	273.26	-0.21	0.00	0.00	0.00	0	0	0	0	-0.082367	19.94	20.50	18.91	18.93	13.75	80.05	99.90	63.6	88.7	86.6	81.00	0.628	3.82	98.9		200		5.40	15.0	26.7	599.28	1016.4	49.6	1.91	1.91	0.883	0.967	31.2	123.0	32.00	0.353860	0.257250	805.7	809.2		0.00	21.158	27.0	0.024483	0.00	0.00	13:19:30	2019-09-29					-0.001618	-0.000732	-0.00440		25.14		0.46	
15.000	4900	100.0	317.09	162.71	0.994	315.05	161.66	0.946	3.96	7.68	41.9715	257.94	0.00	0.00	-0.15	-0.09	0	0	0	0	-0.082594	21.21	21.50	17.88	18.00	13.81	80.05	99.90	64.4	88.7	86.7	81.00	0.650	3.79	99.7		200		5.40	15.0	27.1	595.69	1016.3	48.9	1.81	1.81	0.782	0.873	30.5	119.6	31.00	0.378727	0.268766	834.1	843.0		0.00	19.917	27.7	0.030201	0.00	0.00	13:21:30	2019-09-29					-0.001618	-0.000732	-0.00478		24.32		0.49	
