Ê±¼ä	SPEED_A	ALPHA	TORQUE_A	POWER	REDFAC	TORQUE_C	POWER_C	LAMBDA	InjTim	zwout	FUELCOSP	BH	Knock1	Knock2	Knock3	Knock4	Misfir1	Misfir2	Misfir3	Misfir4	P_CRANK	InCamA	InCamC	ExCamA	ExCamC	ECU_u	ThrPos	wped	TWI	TWO	TWO2	tmot	P_AGB	P_OILOF	T_OIL	T_OILOF	prist	pristD	P_FUEL	T_FUEL	T_INTAKE	AirFlow	P_AIR	PHI	BoostD	BoostP	PLLKN	PLLKV	TLLKN	TLLKV	tans	P_EXH_1	P_EXH_2	T_EXH_1	T_EXH_2	OPF_Mass	BLOWBY	P_EFF_ME	T_AIR	P_INTAKE	FlapPosA	FlapPosD	TIME	DATE	T_EXH_3	T_EXH_4	T_EXH_5	T_EXH_6	P_EXH_3	P_EXH_4	P_EXH_5	P_EXH_6	TWD	prist_A	RunningTime	
	rpm	%	Nm	kW	-	Nm	kW	-	ms	degree	kg/h	g/kW.h	degree	degree	degree	degree	-	-	-	-	bar	degree	degree	degree	degree	V	%	%	Cel	Cel	Cel	Cel	bar	bar	Cel		-		bar	Cel	Cel	kg/h	mbar	%	mbar	mbar	bar	bar	Cel	Cel	Cel	bar	bar	Cel	Cel		l/min	bar	Cel	bar	%	%	hhmmss	yyyymmdd					bar	bar	bar		Cel		s	
1.000	2000	20.0	49.98	10.47	0.996	49.80	10.43	1.017	0.80	22.00	3.3115	316.35	0.00	0.00	0.00	0.00	0	0	0	0	-0.085121	55.32	55.50	13.82	14.00	14.13	6.94	21.20	28.8	109.9	106.3	107.40	0.922	1.50	91.2		200		5.59	15.0	28.6	47.79	1019.5	52.6	1.07	0.81	0.043	0.043	20.5	30.0	29.04	0.005310	0.003216	387.8	298.2		0.00	3.139	22.7	-0.003201	100.00	100.00	16:42:14	2019-09-27					0.000873	-0.000854	-0.00366		81.12		0.16	
2.000	1000	100.0	201.45	21.10	0.997	200.77	21.03	1.006	2.90	-5.56	5.8765	278.50	0.00	0.00	0.00	0.00	0	0	0	0	0.001742	42.84	43.04	24.23	23.83	14.03	52.71	99.90	30.5	103.2	100.0	96.00	0.930	1.60	91.1		191		5.58	15.0	28.6	84.69	1019.5	52.6	1.25	1.28	0.226	0.230	20.9	44.3	23.00	0.033081	0.020742	514.1	576.9		0.00	12.656	23.1	-0.001061	0.00	0.00	16:44:14	2019-09-27					0.000873	-0.000854	-0.00366		72.67		0.19	
3.000	1400	100.0	284.04	41.65	0.996	283.04	41.50	0.993	3.90	-4.55	11.5202	276.62	0.00	0.00	0.00	0.00	0	0	0	0	-0.002405	38.10	38.00	22.77	23.00	14.11	59.49	99.90	38.5	101.0	98.2	92.13	0.952	1.85	95.8		200		5.56	15.0	28.7	168.73	1019.5	52.1	1.67	1.67	0.643	0.654	23.4	81.2	24.56	0.066406	0.024951	635.8	711.8		0.00	17.842	23.2	0.003245	0.00	0.00	16:46:14	2019-09-27					0.000873	-0.000772	-0.00366		62.52		0.23	
4.000	1500	100.0	313.68	49.26	0.996	312.37	49.06	0.994	4.20	-4.07	13.2857	269.72	0.00	0.00	-0.16	0.00	0	0	0	0	-0.005164	36.25	36.50	22.79	22.55	14.09	60.87	99.90	49.8	100.9	98.2	91.21	1.011	1.93	98.4		200		5.55	15.0	28.5	199.56	1019.5	52.4	1.82	1.82	0.797	0.808	26.5	97.6	26.77	0.072388	0.030499	664.6	745.0		0.00	19.698	23.5	0.007813	0.00	0.00	16:48:14	2019-09-27					0.000873	-0.000734	-0.00366		51.17		0.26	
5.000	1600	100.0	320.57	53.71	0.997	319.49	53.53	0.999	4.20	-3.74	14.1004	262.53	-0.12	-0.22	-0.38	0.00	0	0	0	0	-0.006363	34.07	33.88	21.23	21.50	14.09	63.48	99.90	60.0	99.7	97.4	89.51	1.051	2.07	99.5		200		5.55	15.0	28.7	212.38	1019.5	52.2	1.87	1.87	0.845	0.855	29.5	104.1	29.15	0.070679	0.034193	676.7	749.5		0.10	20.136	24.9	0.013404	0.00	0.00	16:50:14	2019-09-27					0.000873	-0.000732	-0.00366		39.74		0.29	
6.000	1700	100.0	325.14	57.89	0.997	324.07	57.69	1.002	4.19	-3.20	14.9529	258.31	-0.38	-0.51	-0.93	-0.06	0	0	0	0	-0.008071	30.79	30.98	20.05	20.17	14.08	66.09	99.90	61.5	99.6	97.2	89.30	1.034	2.21	100.2		200		5.55	15.0	28.8	221.72	1019.5	52.0	1.90	1.90	0.875	0.886	29.2	108.1	29.63	0.076660	0.038505	686.6	752.8		0.00	20.425	24.7	0.019127	0.00	0.00	16:52:14	2019-09-27					0.000873	-0.000732	-0.00366		38.13		0.33	
7.000	1800	100.0	331.04	62.40	0.992	328.46	61.91	1.002	4.20	-2.74	15.9544	255.68	-0.19	-0.45	-0.49	0.00	0	0	0	0	-0.010072	29.05	28.96	18.35	18.50	14.07	67.43	99.90	60.4	99.7	97.4	89.45	1.002	2.36	100.6		200		5.54	15.0	27.7	234.24	1019.5	49.9	1.93	1.93	0.907	0.919	28.9	110.5	29.00	0.088623	0.044589	696.1	756.2		0.00	20.794	24.7	0.022420	0.00	0.00	16:54:14	2019-09-27					-0.000343	-0.000732	-0.00366		39.22		0.36	
8.000	2000	100.0	328.97	68.89	0.990	325.50	68.17	1.004	4.10	-1.54	17.3273	251.52	-0.09	-0.46	-0.61	0.00	0	0	0	0	-0.013294	25.32	25.50	14.35	14.50	14.03	67.43	99.90	60.2	100.1	98.0	90.38	0.987	2.67	101.2		200		5.54	15.0	27.0	254.41	1019.5	48.9	1.93	1.93	0.905	0.919	30.7	108.3	30.79	0.101868	0.056521	711.8	766.2		0.00	20.661	24.4	0.027017	0.00	0.00	16:56:14	2019-09-27					-0.000373	-0.000645	-0.00366		39.88		0.39	
9.000	2500	100.0	334.56	87.59	0.996	333.16	87.22	0.999	4.02	0.72	21.7772	248.64	0.00	-0.04	-0.06	0.00	0	0	0	0	-0.023553	23.80	24.00	11.78	12.00	14.00	69.79	99.90	61.1	96.9	95.1	87.27	0.928	3.43	101.1		200		5.52	15.0	28.6	317.51	1019.6	51.5	1.91	1.91	0.885	0.906	29.1	105.0	29.35	0.145447	0.090293	743.6	789.7		0.00	21.014	24.7	0.027865	0.00	0.00	16:58:14	2019-09-27					-0.000373	-0.000729	-0.00366		35.86		0.43	
