AVL_INDEP_TIME	SPEED_A	ALPHA	TORQUE_A	POWER	REDFAC	TORQUE_C	POWER_C	P_EFF_ME	BH	FUELCOSP	T_FUEL	P_FUEL	TWI	TWO	TWD	P_AGB	T_OIL	P_OILOF	P_OILCH	PHI	T_INTAKE	P_INTAKE	T_AIR	P_AIR	BLOWBY	P_CRANK	T_EXH_1	T_EXH_2	T_EXH_3	T_EXH_4	T_EXH_D	P_EXH_1	P_EXH_2	P_EXH_3	P_EXH_4	P_EXH_D	TLLKV	TLLKN	PLLKV	PLLKN	LAMBDA	VOL_BAT	AIRCONS	nmot	wped	ThrPos	zwout	InjTim	Knock1	Knock2	Knock3	Knock4	Misfir1	Misfir2	Misfir3	Misfir4	tmot	tans	AirFlow	ECU_u	prist	pristD	FuelCon	lamsoni	lamsbg	InCamA	InCamC	ExCamA	ExCamC	WGA_A	WGA_C	BoostP	BoostD	FlapPosA	FlapPosD	LambdaD	load	Airpress	dA_Alarm	CP_alarm	T_OILOF	T_EXH_5	T_EXH_6	P_EXH_5	P_EXH_6	RunningTime	TIME	DATE	Cycler	lamsoni_w	pans	PC_CoDc	PC_CoDc2	prist_A	TIC_dem	TW_DEM	EE_MEA01	EE_MEA02	EE_MEA03	EE_MEA04	EE_MEA05	EE_MEA06	EE_MEA07	EE_MEA08	EE_MEA09	EE_MEA10	EE_MEA11	EE_MEA12	EE_MEA13	ATL_Speed	T_B1	TWO2	V_D1	T_B1	T_B2	T_DB1	T_DB2	STWATCH1	
	rpm	%	Nm	kW	-	Nm	kW	bar	g/kW.h	kg/h	Cel	bar	Cel	Cel	Cel	bar	Cel	bar	bar	%	Cel	bar	Cel	mbar	l/min	bar	Cel	Cel	Cel	Cel	Cel	bar	bar	bar	bar	bar	Cel	Cel	bar	bar	-			rpm	%	%	degree	ms	degree	degree	degree	degree	-	-	-	-	Cel	Cel	kg/h	V	-	-	l/h	-	-	degree	degree	degree	degree	%	%	mbar	mbar	%	%	-	-	-			Cel	-	-	bar	bar	s	hhmmss	yyyymmdd	-	-	-	p/cm3	p/cm3	-	-	Cel	-	-	-	-	-	-	-	-	-	-	-	-	-	-		Cel	-	Cel	Cel	Cel	Cel	s	
1.000	2000	19.9	49.99	10.47	1.007	50.32	10.54	3.140	307.15	3.2161	15.0	5.58	36.2	109.3	73.06	0.788	90.2	1.52	0.0092	52.4	29.0	0.001838	23.5	1012.1	0.00	-0.079565	434.4	451.5	**	**	-17.06	0.009620	0.002981	0.000114	-0.000732	0	35.2	27.7	0.041	0.041	1.016			2000.5	21.16	7.03	22.12	0.70	0.00	0.00	0.00	0.00	0	0	0	0	106.31	33.62	47.46	14.06	200	**	4.42	0.00	0.00	55.33	55.50	13.80	14.00	**	**	0.81	1.06	100.00	100.00	1.01	**	**			**	**	**	-0.00366	**	0.05	11:52:29	2019-10-03	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33340		105.6	**	28.1	**	31.86	32.35	204.3	
2.000	1000	100.0	189.81	19.88	0.998	189.48	19.84	11.922	270.66	5.3796	15.0	5.57	43.3	103.7	60.33	0.815	88.4	1.61	0.0112	49.6	26.9	0.005495	23.6	1012.1	0.30	0.000194	526.2	583.6	**	**	-57.35	0.028701	0.018188	-0.000373	-0.000701	0	48.7	28.4	0.182	0.178	1.005			1000.1	99.90	52.26	-3.84	2.60	0.00	0.00	0.00	0.00	0	0	0	0	97.23	29.00	79.23	13.97	200	**	7.06	0.00	0.00	43.32	43.50	23.80	23.96	**	**	1.26	1.19	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	0.10	11:55:20	2019-10-03	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33340		99.2	**	29.3	**	31.82	32.24	375.4	
3.000	1200	100.0	220.98	27.77	1.007	222.43	27.95	13.881	259.23	7.1993	15.0	5.57	51.4	102.1	50.73	0.811	93.8	2.69	0.0133	52.8	28.9	0.006790	24.2	1012.0	0.00	0.000541	571.2	629.1	**	**	-57.86	0.048373	0.017829	-0.000373	-0.000731	0	60.6	29.4	0.296	0.284	1.001			1199.0	99.90	56.76	-2.02	2.89	0.00	-0.12	-0.12	0.00	0	0	0	0	94.60	30.00	104.54	13.99	200	**	9.36	0.00	0.00	39.74	40.00	21.37	21.58	**	**	1.40	1.30	0.00	0.00	0.99	**	**			**	**	**	-0.00366	**	0.14	11:58:12	2019-10-03	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33340		98.2	**	29.9	**	31.87	32.14	547.2	
4.000	1400	100.0	267.83	39.27	0.998	267.45	39.21	16.826	263.68	10.3541	15.0	5.55	60.2	99.2	38.98	0.824	97.4	1.83	0.0147	49.2	26.9	0.010146	24.1	1012.0	0.24	-0.001948	633.9	695.4	**	**	-61.48	0.057927	0.021865	-0.000373	-0.000610	0	83.9	26.7	0.532	0.522	0.995			1400.5	99.90	59.44	-3.01	3.50	0.00	0.00	0.00	0.00	0	0	0	0	90.53	28.55	151.90	13.98	200	**	12.99	0.00	0.00	37.74	38.00	23.20	23.00	**	**	1.64	1.54	0.00	0.00	0.99	**	**			**	**	**	-0.00366	**	0.19	12:01:04	2019-10-03	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33340		95.6	**	31.0	**	31.98	32.13	719.0	
5.000	1500	100.0	289.73	45.50	1.007	291.57	45.80	18.195	266.71	12.1350	15.0	5.55	60.4	99.1	38.72	0.813	98.4	1.95	0.0158	52.7	28.9	0.010175	24.6	1012.0	0.00	-0.004088	674.7	732.8	**	**	-58.16	0.068546	0.027955	-0.000373	-0.000722	0	102.9	30.1	0.694	0.683	0.994			1503.9	99.90	60.84	-3.13	3.80	0.00	0.00	0.00	0.00	0	0	0	0	90.00	30.35	183.36	13.98	200	**	15.70	0.00	0.00	36.66	36.54	22.66	22.59	**	**	1.80	1.70	0.00	0.00	0.99	**	**			**	**	**	-0.00437	**	0.24	12:03:55	2019-10-03	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33340		95.8	**	31.9	**	32.10	32.15	890.8	
6.000	1600	100.0	322.16	53.98	0.998	321.58	53.88	20.236	260.73	14.0739	15.0	5.54	60.4	100.2	39.85	0.820	99.6	2.06	0.0178	49.6	26.8	0.015111	24.7	1011.9	0.14	-0.006008	689.4	742.1	**	**	-52.74	0.079191	0.035765	-0.000373	-0.000610	0	119.1	26.9	0.858	0.847	0.997			1605.8	99.90	63.42	-3.60	4.14	0.00	-0.12	0.00	0.00	0	0	0	0	90.71	28.22	212.21	13.96	200	**	18.05	0.00	0.00	34.27	33.88	21.27	21.50	**	**	1.87	1.87	0.00	0.00	0.99	**	**			**	**	**	-0.00366	**	0.29	12:06:47	2019-10-03	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33340		96.7	**	33.3	**	32.29	32.25	1062.6	
7.000	1800	100.0	332.81	62.74	0.998	332.32	62.64	20.906	253.42	15.8987	15.0	5.53	60.7	99.7	39.03	0.829	100.2	2.36	0.0171	49.1	26.9	0.014099	24.7	1011.9	0.00	-0.008426	706.2	749.8	**	**	-43.69	0.096032	0.047871	-0.000373	-0.000712	0	124.9	30.6	0.933	0.923	1.001			1799.4	99.90	68.45	-2.77	4.17	-0.23	-0.14	-0.21	0.00	0	0	0	0	90.00	30.93	233.73	13.96	200	**	20.48	0.00	0.00	28.65	29.00	18.80	18.97	**	**	1.94	1.94	0.00	0.00	0.99	**	**			**	**	**	-0.00366	**	0.34	12:09:39	2019-10-03	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33340		96.4	**	34.4	**	32.42	32.36	1234.4	
8.000	2000	100.0	332.36	69.60	0.999	331.99	69.53	20.874	248.83	17.3199	15.0	5.53	60.2	98.6	38.41	0.813	100.2	2.70	0.0186	48.6	27.1	0.015635	25.1	1011.9	0.00	-0.011832	722.7	760.7	**	**	-38.01	0.105602	0.058281	-0.000373	-0.000731	0	122.3	30.2	0.926	0.912	1.003			2000.2	99.90	71.74	-1.19	4.10	0.00	-0.10	-0.04	0.00	0	0	0	0	89.00	30.37	253.47	13.96	200	**	22.50	0.00	0.00	25.74	25.83	14.85	14.88	**	**	1.93	1.93	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	0.38	12:12:31	2019-10-03	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33339		95.4	**	35.8	**	32.59	32.50	1406.2	
9.000	2250	100.0	332.03	78.22	0.998	331.40	78.08	20.852	249.54	19.5177	15.0	5.52	60.3	98.8	38.53	0.827	101.1	3.04	0.0208	49.6	26.8	0.017405	25.1	1011.9	0.00	-0.015956	750.5	782.1	**	**	-31.59	0.134102	0.074852	-0.000457	-0.000672	0	118.3	27.9	0.906	0.889	1.000			2250.4	99.90	71.73	-0.04	4.00	0.00	0.00	0.00	0.00	0	0	0	0	89.58	28.56	283.83	13.95	200	**	24.93	0.00	0.00	24.49	24.72	13.19	13.31	**	**	1.90	1.91	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	0.43	12:15:23	2019-10-03	1	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33339		95.7	**	37.0	**	32.82	32.69	1578.0	
