AVL_INDEP_TIME	SPEED_A	ALPHA	TORQUE_A	POWER	REDFAC	TORQUE_C	POWER_C	P_EFF_ME	BH	FUELCOSP	T_FUEL	P_FUEL	TWI	TWO	TWD	P_AGB	T_OIL	P_OILOF	P_OILCH	PHI	T_INTAKE	P_INTAKE	T_AIR	P_AIR	BLOWBY	P_CRANK	T_EXH_1	T_EXH_2	T_EXH_3	T_EXH_4	T_EXH_D	P_EXH_1	P_EXH_2	P_EXH_3	P_EXH_4	P_EXH_D	TLLKV	TLLKN	PLLKV	PLLKN	LAMBDA	VOL_BAT	AIRCONS	nmot	wped	ThrPos	zwout	InjTim	Knock1	Knock2	Knock3	Knock4	Misfir1	Misfir2	Misfir3	Misfir4	tmot	tans	AirFlow	ECU_u	prist	pristD	FuelCon	lamsoni	lamsbg	InCamA	InCamC	ExCamA	ExCamC	WGA_A	WGA_C	BoostP	BoostD	FlapPosA	FlapPosD	LambdaD	load	Airpress	dA_Alarm	CP_alarm	T_OILOF	T_EXH_5	T_EXH_6	P_EXH_5	P_EXH_6	RunningTime	TIME	DATE	Cycler	lamsoni_w	pans	PC_CoDc	PC_CoDc2	prist_A	TIC_dem	TW_DEM	EE_MEA01	EE_MEA02	EE_MEA03	EE_MEA04	EE_MEA05	EE_MEA06	EE_MEA07	EE_MEA08	EE_MEA09	EE_MEA10	EE_MEA11	EE_MEA12	EE_MEA13	ATL_Speed	T_B1	TWO2	V_D1	T_B1	T_B2	T_DB1	T_DB2	STWATCH1	
	rpm	%	Nm	kW	-	Nm	kW	bar	g/kW.h	kg/h	Cel	bar	Cel	Cel	Cel	bar	Cel	bar	bar	%	Cel	bar	Cel	mbar	l/min	bar	Cel	Cel	Cel	Cel	Cel	bar	bar	bar	bar	bar	Cel	Cel	bar	bar	-			rpm	%	%	degree	ms	degree	degree	degree	degree	-	-	-	-	Cel	Cel	kg/h	V	-	-	l/h	-	-	degree	degree	degree	degree	%	%	mbar	mbar	%	%	-	-	-			Cel	-	-	bar	bar	s	hhmmss	yyyymmdd	-	-	-	p/cm3	p/cm3	-	-	Cel	-	-	-	-	-	-	-	-	-	-	-	-	-	-		Cel	-	Cel	Cel	Cel	Cel	s	
1.0000	1001	100.0	196.90	20.62	0.982	193.08	20.24	12.356	271.99	5.5790	15.0	5.58	37.0	102.6	65.61	0.380	76.6	1.61	-0.0330	51.0	28.5	-0.022021	23.2	1031.2	0.00	0.002136	607.0	715.8	**	**	-108.88	0.031408	0.018527	-0.001411	-0.000977	0	60.3	27.7	0.194	0.189	0.996			998.0	99.90	52.47	-4.50	2.70	0.00	0.00	0.00	0.00	0	0	0	0	96.00	28.00	82.00	13.94	188	**	15.17	0.00	0.00	43.40	43.50	24.90	23.50	**	**	1.27	1.23	0.00	0.00	0.99	**	**			**	**	**	-0.00366	**	326.72	09:13:21	2019-10-15	23	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	8009		96.5	**	24.5	**	23.96	23.69	1176193.3	
2.0000	1400	100.0	263.76	38.76	0.987	260.80	38.24	16.605	262.71	10.2023	15.0	5.56	44.0	98.9	54.91	0.462	88.5	2.00	-0.0257	57.5	29.1	-0.014447	23.7	1031.2	0.00	0.000824	634.4	678.3	**	**	-43.66	0.056900	0.022572	-0.001515	-0.000854	0	79.9	29.4	0.505	0.496	0.995			1396.5	99.90	59.44	-2.81	3.40	0.00	0.00	0.00	0.00	0	0	0	0	91.00	29.00	151.00	13.97	200	**	12.09	0.00	0.00	37.45	38.00	22.85	23.00	**	**	1.64	1.53	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	326.72	09:15:26	2019-10-15	23	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	11212		94.8	**	25.7	**	24.05	23.69	1176193.3	
3.0000	1000	100.0	193.72	20.26	0.987	190.96	19.99	12.154	270.31	5.4883	15.0	5.58	45.8	101.9	56.04	0.482	80.8	1.62	-0.0256	57.6	29.2	-0.012618	24.3	1031.2	0.00	0.002524	586.7	671.0	**	**	-83.71	0.030751	0.018527	-0.001618	-0.000854	0	65.8	29.1	0.187	0.183	0.999			996.0	99.90	52.16	-3.37	2.60	0.00	0.00	0.00	0.00	0	0	0	0	97.00	29.00	81.00	13.96	201	**	11.09	0.00	0.00	41.80	43.50	25.30	23.50	**	**	1.27	1.22	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	326.72	09:16:04	2019-10-15	23	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	8005		95.6	**	26.0	**	24.09	23.70	1176193.3	
4.0000	1500	100.0	282.71	44.42	0.987	279.31	43.87	17.768	266.13	11.8177	15.0	5.56	50.7	99.9	49.19	0.533	92.5	2.05	-0.0244	57.3	29.4	-0.010454	24.3	1031.2	0.00	-0.002252	660.9	699.7	**	**	-38.79	0.066661	0.023369	-0.000373	-0.000732	0	94.4	31.4	0.640	0.634	0.992			1499.8	99.90	60.80	-3.00	3.70	0.00	0.00	0.00	0.00	0	0	0	0	91.00	31.00	178.20	13.97	200	**	13.15	0.00	0.00	36.98	37.00	22.22	22.50	**	**	1.78	1.67	0.00	0.00	0.99	**	**			**	**	**	-0.00366	**	326.72	09:17:22	2019-10-15	23	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	12040		95.7	**	26.6	**	24.18	23.73	1176193.3	
5.0000	1600	100.0	305.73	51.22	0.980	299.69	50.21	19.204	261.50	13.4111	15.0	5.55	57.9	99.8	41.94	0.605	95.1	2.14	-0.0208	53.2	27.8	-0.006599	25.1	1031.2	0.00	-0.003873	687.7	728.2	**	**	-40.50	0.077582	0.032336	-0.000373	-0.000682	0	109.7	26.6	0.771	0.761	0.995			1596.1	99.90	63.46	-3.00	3.90	0.00	0.00	0.00	0.00	0	0	0	0	90.30	28.00	203.20	13.93	200	**	16.18	0.00	0.00	33.46	33.80	21.17	21.50	**	**	1.85	1.80	0.00	0.00	0.99	**	**			**	**	**	-0.00366	**	326.72	09:18:50	2019-10-15	23	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	12838		95.8	**	27.3	**	24.33	23.79	1176193.3	
6.0000	1700	100.0	320.62	57.11	0.980	314.33	55.96	20.149	258.77	14.7783	15.0	5.54	59.8	99.5	39.62	0.629	96.2	2.27	-0.0208	52.7	27.8	-0.005420	24.3	1031.3	0.00	-0.006330	697.1	736.9	**	**	-39.73	0.085887	0.037996	-0.000373	-0.000610	0	117.5	28.1	0.856	0.846	0.998			1705.8	99.90	65.97	-2.38	4.10	0.00	0.00	0.00	0.00	0	0	0	0	90.64	28.45	219.91	13.93	200	**	17.66	0.00	0.00	30.99	30.73	20.52	20.50	**	**	1.89	1.89	0.00	0.00	0.99	**	**			**	**	**	-0.00366	**	326.72	09:19:38	2019-10-15	23	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	13693		95.6	**	27.8	**	24.42	23.82	1176193.3	
7.0000	1800	100.0	328.99	62.01	0.980	322.53	60.80	20.665	255.72	15.8686	15.0	5.54	60.7	99.0	38.39	0.617	96.9	2.40	-0.0202	53.6	27.8	-0.005599	24.4	1031.3	0.00	-0.008289	706.5	743.3	**	**	-36.79	0.098285	0.043231	-0.000373	-0.000610	0	122.3	29.8	0.906	0.895	0.998			1795.5	99.90	68.46	-2.36	4.10	0.00	0.00	0.00	0.00	0	0	0	0	89.40	30.00	232.90	13.94	200	**	18.96	0.00	0.00	28.85	29.00	18.66	18.85	**	**	1.93	1.93	0.00	0.00	0.99	**	**			**	**	**	-0.00366	**	326.72	09:20:21	2019-10-15	23	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	14403		95.4	**	28.1	**	24.47	23.86	1176193.3	
8.0000	2000	100.0	329.45	68.94	0.984	323.84	67.82	20.680	252.38	17.4008	15.0	5.53	60.4	98.5	38.03	0.619	97.7	2.71	-0.0195	48.1	29.6	-0.005437	24.7	1031.4	0.00	-0.010967	722.9	752.8	**	**	-29.86	0.107389	0.055941	-0.000373	-0.000610	0	122.6	31.2	0.906	0.892	1.000			1999.8	99.90	73.59	-1.12	4.10	0.00	0.00	0.00	0.00	0	0	0	0	89.00	31.00	253.55	13.91	200	**	20.50	0.00	0.00	25.26	25.86	14.30	14.50	**	**	1.93	1.92	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	326.72	09:21:01	2019-10-15	23	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	16009		95.0	**	28.4	**	24.51	23.89	1176193.3	
9.0000	2500	100.0	329.60	86.33	0.988	325.70	85.27	20.714	252.87	21.8241	15.0	5.51	60.8	97.3	36.50	0.626	98.5	3.45	-0.0184	55.7	29.7	-0.004980	24.9	1031.4	0.00	-0.022474	758.7	780.9	**	**	-21.91	0.156851	0.088721	-0.000373	-0.000610	0	120.2	32.3	0.898	0.877	0.996			2498.2	99.90	76.94	0.75	4.00	0.00	0.00	0.00	0.00	0	0	0	0	88.00	32.00	315.91	13.90	200	**	22.88	0.00	0.00	23.47	24.00	11.55	12.00	**	**	1.91	1.92	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	326.72	09:21:35	2019-10-15	23	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	20094		94.2	**	28.6	**	24.55	23.93	1176193.3	
