Ê±¼ä	SPEED_A	ALPHA	TORQUE_A	POWER	REDFAC	TORQUE_C	POWER_C	LAMBDA	InjTim	zwout	FUELCOSP	BH	Knock1	Knock2	Knock3	Knock4	Misfir1	Misfir2	Misfir3	Misfir4	P_CRANK	InCamA	InCamC	ExCamA	ExCamC	ECU_u	ThrPos	wped	TWI	TWO	TWO2	tmot	P_AGB	P_OILOF	T_OIL	T_OILOF	prist	pristD	P_FUEL	T_FUEL	T_INTAKE	AirFlow	P_AIR	PHI	BoostD	BoostP	PLLKN	PLLKV	TLLKN	TLLKV	tans	P_EXH_1	P_EXH_2	T_EXH_1	T_EXH_2	OPF_Mass	BLOWBY	P_EFF_ME	T_AIR	P_INTAKE	FlapPosA	FlapPosD	TIME	DATE	T_EXH_3	T_EXH_4	T_EXH_5	T_EXH_6	P_EXH_3	P_EXH_4	P_EXH_5	P_EXH_6	TWD	prist_A	RunningTime	
	rpm	%	Nm	kW	-	Nm	kW	-	ms	degree	kg/h	g/kW.h	degree	degree	degree	degree	-	-	-	-	bar	degree	degree	degree	degree	V	%	%	Cel	Cel	Cel	Cel	bar	bar	Cel		-		bar	Cel	Cel	kg/h	mbar	%	mbar	mbar	bar	bar	Cel	Cel	Cel	bar	bar	Cel	Cel		l/min	bar	Cel	bar	%	%	hhmmss	yyyymmdd					bar	bar	bar		Cel		s	
1.0000	1001	100.0	196.90	20.62	0.982	193.08	20.24	0.996	2.70	-4.50	5.5790	271.99	0.00	0.00	0.00	0.00	0	0	0	0	0.002136	43.40	43.50	24.90	23.50	13.94	52.47	99.90	37.0	102.6	96.5	96.00	0.380	1.61	76.6		188		5.58	15.0	28.5	82.00	1031.2	51.0	1.23	1.27	0.189	0.194	27.7	60.3	28.00	0.031408	0.018527	607.0	715.8		0.00	12.356	23.2	-0.022021	0.00	0.00	09:13:21	2019-10-15					-0.001411	-0.000977	-0.00366		65.61		326.72	
2.0000	1400	100.0	263.76	38.76	0.987	260.80	38.24	0.995	3.40	-2.81	10.2023	262.71	0.00	0.00	0.00	0.00	0	0	0	0	0.000824	37.45	38.00	22.85	23.00	13.97	59.44	99.90	44.0	98.9	94.8	91.00	0.462	2.00	88.5		200		5.56	15.0	29.1	151.00	1031.2	57.5	1.53	1.64	0.496	0.505	29.4	79.9	29.00	0.056900	0.022572	634.4	678.3		0.00	16.605	23.7	-0.014447	0.00	0.00	09:15:26	2019-10-15					-0.001515	-0.000854	-0.00366		54.91		326.72	
3.0000	1000	100.0	193.72	20.26	0.987	190.96	19.99	0.999	2.60	-3.37	5.4883	270.31	0.00	0.00	0.00	0.00	0	0	0	0	0.002524	41.80	43.50	25.30	23.50	13.96	52.16	99.90	45.8	101.9	95.6	97.00	0.482	1.62	80.8		201		5.58	15.0	29.2	81.00	1031.2	57.6	1.22	1.27	0.183	0.187	29.1	65.8	29.00	0.030751	0.018527	586.7	671.0		0.00	12.154	24.3	-0.012618	0.00	0.00	09:16:04	2019-10-15					-0.001618	-0.000854	-0.00366		56.04		326.72	
4.0000	1500	100.0	282.71	44.42	0.987	279.31	43.87	0.992	3.70	-3.00	11.8177	266.13	0.00	0.00	0.00	0.00	0	0	0	0	-0.002252	36.98	37.00	22.22	22.50	13.97	60.80	99.90	50.7	99.9	95.7	91.00	0.533	2.05	92.5		200		5.56	15.0	29.4	178.20	1031.2	57.3	1.67	1.78	0.634	0.640	31.4	94.4	31.00	0.066661	0.023369	660.9	699.7		0.00	17.768	24.3	-0.010454	0.00	0.00	09:17:22	2019-10-15					-0.000373	-0.000732	-0.00366		49.19		326.72	
5.0000	1600	100.0	305.73	51.22	0.980	299.69	50.21	0.995	3.90	-3.00	13.4111	261.50	0.00	0.00	0.00	0.00	0	0	0	0	-0.003873	33.46	33.80	21.17	21.50	13.93	63.46	99.90	57.9	99.8	95.8	90.30	0.605	2.14	95.1		200		5.55	15.0	27.8	203.20	1031.2	53.2	1.80	1.85	0.761	0.771	26.6	109.7	28.00	0.077582	0.032336	687.7	728.2		0.00	19.204	25.1	-0.006599	0.00	0.00	09:18:50	2019-10-15					-0.000373	-0.000682	-0.00366		41.94		326.72	
6.0000	1700	100.0	320.62	57.11	0.980	314.33	55.96	0.998	4.10	-2.38	14.7783	258.77	0.00	0.00	0.00	0.00	0	0	0	0	-0.006330	30.99	30.73	20.52	20.50	13.93	65.97	99.90	59.8	99.5	95.6	90.64	0.629	2.27	96.2		200		5.54	15.0	27.8	219.91	1031.3	52.7	1.89	1.89	0.846	0.856	28.1	117.5	28.45	0.085887	0.037996	697.1	736.9		0.00	20.149	24.3	-0.005420	0.00	0.00	09:19:38	2019-10-15					-0.000373	-0.000610	-0.00366		39.62		326.72	
7.0000	1800	100.0	328.99	62.01	0.980	322.53	60.80	0.998	4.10	-2.36	15.8686	255.72	0.00	0.00	0.00	0.00	0	0	0	0	-0.008289	28.85	29.00	18.66	18.85	13.94	68.46	99.90	60.7	99.0	95.4	89.40	0.617	2.40	96.9		200		5.54	15.0	27.8	232.90	1031.3	53.6	1.93	1.93	0.895	0.906	29.8	122.3	30.00	0.098285	0.043231	706.5	743.3		0.00	20.665	24.4	-0.005599	0.00	0.00	09:20:21	2019-10-15					-0.000373	-0.000610	-0.00366		38.39		326.72	
8.0000	2000	100.0	329.45	68.94	0.984	323.84	67.82	1.000	4.10	-1.12	17.4008	252.38	0.00	0.00	0.00	0.00	0	0	0	0	-0.010967	25.26	25.86	14.30	14.50	13.91	73.59	99.90	60.4	98.5	95.0	89.00	0.619	2.71	97.7		200		5.53	15.0	29.6	253.55	1031.4	48.1	1.92	1.93	0.892	0.906	31.2	122.6	31.00	0.107389	0.055941	722.9	752.8		0.00	20.680	24.7	-0.005437	0.00	0.00	09:21:01	2019-10-15					-0.000373	-0.000610	-0.00366		38.03		326.72	
9.0000	2500	100.0	329.60	86.33	0.988	325.70	85.27	0.996	4.00	0.75	21.8241	252.87	0.00	0.00	0.00	0.00	0	0	0	0	-0.022474	23.47	24.00	11.55	12.00	13.90	76.94	99.90	60.8	97.3	94.2	88.00	0.626	3.45	98.5		200		5.51	15.0	29.7	315.91	1031.4	55.7	1.92	1.91	0.877	0.898	32.3	120.2	32.00	0.156851	0.088721	758.7	780.9		0.00	20.714	24.9	-0.004980	0.00	0.00	09:21:35	2019-10-15					-0.000373	-0.000610	-0.00366		36.50		326.72	
